Helsinki-NLP/opus-mt-sv-en,Swedish to English
Helsinki-NLP/opus-mt-sv-et,Swedish to Estonian
Helsinki-NLP/opus-mt-sv-fi,Swedish to Finnish
Helsinki-NLP/opus-mt-sv-fr,Swedish to French
Helsinki-NLP/opus-mt-sv-el,Swedish to Greek
Helsinki-NLP/opus-mt-sv-he,Swedish to Hebrew
Helsinki-NLP/opus-mt-sv-hu,Swedish to Hungarian
Helsinki-NLP/opus-mt-sv-is,Swedish to Icelandic
Helsinki-NLP/opus-mt-sv-lv,Swedish to Latvian
Helsinki-NLP/opus-mt-sv-mt,Swedish to Maltese
Helsinki-NLP/opus-mt-sv-no,Swedish to Norwegian
Helsinki-NLP/opus-mt-sv-ro,Swedish to Romanian
Helsinki-NLP/opus-mt-sv-ru,Swedish to Russian
Helsinki-NLP/opus-mt-sv-sk,Swedish to Slovak
Helsinki-NLP/opus-mt-sv-sl,Swedish to Slovenian
Helsinki-NLP/opus-mt-sv-es,Swedish to Spanish
Helsinki-NLP/opus-mt-sv-th,Swedish to Thai
Helsinki-NLP/opus-mt-sv-uk,Swedish to Ukrainian
Helsinki-NLP/opus-mt-th-en,Thai to English
Helsinki-NLP/opus-mt-th-fr,Thai to French
Helsinki-NLP/opus-mt-tr-ar,Turkish to Arabic
Helsinki-NLP/opus-mt-tr-en,Turkish to English
Helsinki-NLP/opus-mt-tr-fr,Turkish to French
Helsinki-NLP/opus-mt-tr-lt,Turkish to Lithuanian
Helsinki-NLP/opus-mt-tr-es,Turkish to Spanish
Helsinki-NLP/opus-mt-tr-sv,Turkish to Swedish
Helsinki-NLP/opus-mt-tr-uk,Turkish to Ukrainian
Helsinki-NLP/opus-mt-uk-bg,Ukrainian to Bulgarian
Helsinki-NLP/opus-mt-uk-ca,Ukrainian to Catalan
Helsinki-NLP/opus-mt-uk-cs,Ukrainian to Czech
Helsinki-NLP/opus-mt-uk-nl,Ukrainian to Dutch
Helsinki-NLP/opus-mt-uk-en,Ukrainian to English
Helsinki-NLP/opus-mt-uk-fi,Ukrainian to Finnish
Helsinki-NLP/opus-mt-uk-fr,Ukrainian to French
Helsinki-NLP/opus-mt-uk-de,Ukrainian to German
Helsinki-NLP/opus-mt-uk-he,Ukrainian to Hebrew
